|Episode 1 | Episode reward -87.0 |Average reward -87.0|
|Episode 2 | Episode reward -71.0 |Average reward -79.0|
|Episode 3 | Episode reward -86.0 |Average reward -81.33333333333333|
|Episode 4 | Episode reward -92.0 |Average reward -84.0|
|Episode 5 | Episode reward -169.0 |Average reward -101.0|
|Episode 6 | Episode reward -90.0 |Average reward -99.16666666666667|
|Episode 7 | Episode reward -198.0 |Average reward -113.28571428571429|
|Episode 8 | Episode reward -91.0 |Average reward -110.5|
|Episode 9 | Episode reward -128.0 |Average reward -112.44444444444444|
|Episode 10 | Episode reward -92.0 |Average reward -110.4|
|Episode 11 | Episode reward -71.0 |Average reward -106.81818181818181|
|Episode 12 | Episode reward -75.0 |Average reward -104.16666666666667|
|Episode 13 | Episode reward -72.0 |Average reward -101.6923076923077|
|Episode 14 | Episode reward -80.0 |Average reward -100.14285714285714|
|Episode 15 | Episode reward -72.0 |Average reward -98.26666666666667|
|Episode 16 | Episode reward -99.0 |Average reward -98.3125|
|Episode 17 | Episode reward -92.0 |Average reward -97.94117647058823|
|Episode 18 | Episode reward -88.0 |Average reward -97.38888888888889|
|Episode 19 | Episode reward -75.0 |Average reward -96.21052631578948|
|Episode 20 | Episode reward -75.0 |Average reward -95.15|
|Episode 21 | Episode reward -91.0 |Average reward -94.95238095238095|
|Episode 22 | Episode reward -89.0 |Average reward -94.68181818181819|
|Episode 23 | Episode reward -92.0 |Average reward -94.56521739130434|
|Episode 24 | Episode reward -72.0 |Average reward -93.625|
|Episode 25 | Episode reward -97.0 |Average reward -93.76|
|Episode 26 | Episode reward -91.0 |Average reward -93.65384615384616|
|Episode 27 | Episode reward -213.0 |Average reward -98.07407407407408|
|Episode 28 | Episode reward -73.0 |Average reward -97.17857142857143|
|Episode 29 | Episode reward -93.0 |Average reward -97.03448275862068|
|Episode 30 | Episode reward -203.0 |Average reward -100.56666666666666|
|Episode 31 | Episode reward -73.0 |Average reward -99.6774193548387|
|Episode 32 | Episode reward -83.0 |Average reward -99.15625|
|Episode 33 | Episode reward -105.0 |Average reward -99.33333333333333|
|Episode 34 | Episode reward -84.0 |Average reward -98.88235294117646|
|Episode 35 | Episode reward -72.0 |Average reward -98.11428571428571|
|Episode 36 | Episode reward -106.0 |Average reward -98.33333333333333|
|Episode 37 | Episode reward -71.0 |Average reward -97.5945945945946|
|Episode 38 | Episode reward -78.0 |Average reward -97.07894736842105|
|Episode 39 | Episode reward -77.0 |Average reward -96.56410256410257|
|Episode 40 | Episode reward -71.0 |Average reward -95.925|
|Episode 41 | Episode reward -71.0 |Average reward -95.3170731707317|
|Episode 42 | Episode reward -94.0 |Average reward -95.28571428571429|
|Episode 43 | Episode reward -76.0 |Average reward -94.83720930232558|
|Episode 44 | Episode reward -89.0 |Average reward -94.70454545454545|
|Episode 45 | Episode reward -72.0 |Average reward -94.2|
|Episode 46 | Episode reward -393.0 |Average reward -100.69565217391305|
|Episode 47 | Episode reward -75.0 |Average reward -100.14893617021276|
|Episode 48 | Episode reward -71.0 |Average reward -99.54166666666667|
|Episode 49 | Episode reward -76.0 |Average reward -99.06122448979592|
|Episode 50 | Episode reward -90.0 |Average reward -98.88|
|Episode 51 | Episode reward -105.0 |Average reward -99.0|
|Episode 52 | Episode reward -70.0 |Average reward -98.4423076923077|
|Episode 53 | Episode reward -72.0 |Average reward -97.94339622641509|
|Episode 54 | Episode reward -73.0 |Average reward -97.48148148148148|
|Episode 55 | Episode reward -77.0 |Average reward -97.10909090909091|
|Episode 56 | Episode reward -80.0 |Average reward -96.80357142857143|
|Episode 57 | Episode reward -104.0 |Average reward -96.9298245614035|
|Episode 58 | Episode reward -500.0 |Average reward -103.87931034482759|
|Episode 59 | Episode reward -85.0 |Average reward -103.55932203389831|
|Episode 60 | Episode reward -77.0 |Average reward -103.11666666666666|
|Episode 61 | Episode reward -89.0 |Average reward -102.88524590163935|
|Episode 62 | Episode reward -77.0 |Average reward -102.46774193548387|
|Episode 63 | Episode reward -73.0 |Average reward -102.0|
|Episode 64 | Episode reward -76.0 |Average reward -101.59375|
|Episode 65 | Episode reward -71.0 |Average reward -101.12307692307692|
|Episode 66 | Episode reward -92.0 |Average reward -100.98484848484848|
|Episode 67 | Episode reward -75.0 |Average reward -100.59701492537313|
|Episode 68 | Episode reward -78.0 |Average reward -100.26470588235294|
|Episode 69 | Episode reward -103.0 |Average reward -100.30434782608695|
|Episode 70 | Episode reward -184.0 |Average reward -101.5|
|Episode 71 | Episode reward -93.0 |Average reward -101.38028169014085|
|Episode 72 | Episode reward -91.0 |Average reward -101.23611111111111|
|Episode 73 | Episode reward -105.0 |Average reward -101.28767123287672|
|Episode 74 | Episode reward -116.0 |Average reward -101.48648648648648|
|Episode 75 | Episode reward -77.0 |Average reward -101.16|
|Episode 76 | Episode reward -79.0 |Average reward -100.86842105263158|
|Episode 77 | Episode reward -90.0 |Average reward -100.72727272727273|
|Episode 78 | Episode reward -97.0 |Average reward -100.67948717948718|
|Episode 79 | Episode reward -77.0 |Average reward -100.37974683544304|
|Episode 80 | Episode reward -91.0 |Average reward -100.2625|
|Episode 81 | Episode reward -80.0 |Average reward -100.01234567901234|
|Episode 82 | Episode reward -76.0 |Average reward -99.71951219512195|
|Episode 83 | Episode reward -76.0 |Average reward -99.43373493975903|
|Episode 84 | Episode reward -78.0 |Average reward -99.17857142857143|
|Episode 85 | Episode reward -179.0 |Average reward -100.11764705882354|
|Episode 86 | Episode reward -92.0 |Average reward -100.02325581395348|
|Episode 87 | Episode reward -90.0 |Average reward -99.9080459770115|
|Episode 88 | Episode reward -76.0 |Average reward -99.63636363636364|
|Episode 89 | Episode reward -71.0 |Average reward -99.31460674157303|
|Episode 90 | Episode reward -71.0 |Average reward -99.0|
|Episode 91 | Episode reward -77.0 |Average reward -98.75824175824175|
|Episode 92 | Episode reward -77.0 |Average reward -98.52173913043478|
|Episode 93 | Episode reward -91.0 |Average reward -98.44086021505376|
|Episode 94 | Episode reward -84.0 |Average reward -98.2872340425532|
|Episode 95 | Episode reward -123.0 |Average reward -98.54736842105264|
|Episode 96 | Episode reward -169.0 |Average reward -99.28125|
|Episode 97 | Episode reward -85.0 |Average reward -99.1340206185567|
|Episode 98 | Episode reward -93.0 |Average reward -99.07142857142857|
|Episode 99 | Episode reward -75.0 |Average reward -98.82828282828282|
|Episode 100 | Episode reward -89.0 |Average reward -98.73|

Process finished with exit code 0
