|Episode 1 | Episode reward -109.0 |Average reward -109.0|
|Episode 2 | Episode reward -110.0 |Average reward -109.5|
|Episode 3 | Episode reward -84.0 |Average reward -101.0|
|Episode 4 | Episode reward -114.0 |Average reward -104.25|
|Episode 5 | Episode reward -83.0 |Average reward -100.0|
|Episode 6 | Episode reward -111.0 |Average reward -101.83333333333333|
|Episode 7 | Episode reward -113.0 |Average reward -103.42857142857143|
|Episode 8 | Episode reward -92.0 |Average reward -102.0|
|Episode 9 | Episode reward -111.0 |Average reward -103.0|
|Episode 10 | Episode reward -111.0 |Average reward -103.8|
|Episode 11 | Episode reward -111.0 |Average reward -104.45454545454545|
|Episode 12 | Episode reward -112.0 |Average reward -105.08333333333333|
|Episode 13 | Episode reward -110.0 |Average reward -105.46153846153847|
|Episode 14 | Episode reward -86.0 |Average reward -104.07142857142857|
|Episode 15 | Episode reward -112.0 |Average reward -104.6|
|Episode 16 | Episode reward -113.0 |Average reward -105.125|
|Episode 17 | Episode reward -108.0 |Average reward -105.29411764705883|
|Episode 18 | Episode reward -111.0 |Average reward -105.61111111111111|
|Episode 19 | Episode reward -86.0 |Average reward -104.57894736842105|
|Episode 20 | Episode reward -110.0 |Average reward -104.85|
|Episode 21 | Episode reward -112.0 |Average reward -105.19047619047619|
|Episode 22 | Episode reward -86.0 |Average reward -104.31818181818181|
|Episode 23 | Episode reward -84.0 |Average reward -103.43478260869566|
|Episode 24 | Episode reward -110.0 |Average reward -103.70833333333333|
|Episode 25 | Episode reward -110.0 |Average reward -103.96|
|Episode 26 | Episode reward -113.0 |Average reward -104.3076923076923|
|Episode 27 | Episode reward -83.0 |Average reward -103.51851851851852|
|Episode 28 | Episode reward -113.0 |Average reward -103.85714285714286|
|Episode 29 | Episode reward -111.0 |Average reward -104.10344827586206|
|Episode 30 | Episode reward -113.0 |Average reward -104.4|
|Episode 31 | Episode reward -111.0 |Average reward -104.61290322580645|
|Episode 32 | Episode reward -83.0 |Average reward -103.9375|
|Episode 33 | Episode reward -111.0 |Average reward -104.15151515151516|
|Episode 34 | Episode reward -112.0 |Average reward -104.38235294117646|
|Episode 35 | Episode reward -111.0 |Average reward -104.57142857142857|
|Episode 36 | Episode reward -109.0 |Average reward -104.69444444444444|
|Episode 37 | Episode reward -114.0 |Average reward -104.94594594594595|
|Episode 38 | Episode reward -112.0 |Average reward -105.13157894736842|
|Episode 39 | Episode reward -83.0 |Average reward -104.56410256410257|
|Episode 40 | Episode reward -111.0 |Average reward -104.725|
|Episode 41 | Episode reward -114.0 |Average reward -104.95121951219512|
|Episode 42 | Episode reward -113.0 |Average reward -105.14285714285714|
|Episode 43 | Episode reward -112.0 |Average reward -105.30232558139535|
|Episode 44 | Episode reward -113.0 |Average reward -105.47727272727273|
|Episode 45 | Episode reward -111.0 |Average reward -105.6|
|Episode 46 | Episode reward -112.0 |Average reward -105.73913043478261|
|Episode 47 | Episode reward -110.0 |Average reward -105.82978723404256|
|Episode 48 | Episode reward -89.0 |Average reward -105.47916666666667|
|Episode 49 | Episode reward -111.0 |Average reward -105.59183673469387|
|Episode 50 | Episode reward -86.0 |Average reward -105.2|
|Episode 51 | Episode reward -112.0 |Average reward -105.33333333333333|
|Episode 52 | Episode reward -86.0 |Average reward -104.96153846153847|
|Episode 53 | Episode reward -111.0 |Average reward -105.0754716981132|
|Episode 54 | Episode reward -112.0 |Average reward -105.20370370370371|
|Episode 55 | Episode reward -108.0 |Average reward -105.25454545454545|
|Episode 56 | Episode reward -112.0 |Average reward -105.375|
|Episode 57 | Episode reward -111.0 |Average reward -105.47368421052632|
|Episode 58 | Episode reward -85.0 |Average reward -105.12068965517241|
|Episode 59 | Episode reward -91.0 |Average reward -104.88135593220339|
|Episode 60 | Episode reward -113.0 |Average reward -105.01666666666667|
|Episode 61 | Episode reward -108.0 |Average reward -105.06557377049181|
|Episode 62 | Episode reward -84.0 |Average reward -104.7258064516129|
|Episode 63 | Episode reward -110.0 |Average reward -104.80952380952381|
|Episode 64 | Episode reward -86.0 |Average reward -104.515625|
|Episode 65 | Episode reward -111.0 |Average reward -104.61538461538461|
|Episode 66 | Episode reward -112.0 |Average reward -104.72727272727273|
|Episode 67 | Episode reward -108.0 |Average reward -104.77611940298507|
|Episode 68 | Episode reward -111.0 |Average reward -104.86764705882354|
|Episode 69 | Episode reward -85.0 |Average reward -104.57971014492753|
|Episode 70 | Episode reward -89.0 |Average reward -104.35714285714286|
|Episode 71 | Episode reward -113.0 |Average reward -104.47887323943662|
|Episode 72 | Episode reward -111.0 |Average reward -104.56944444444444|
|Episode 73 | Episode reward -84.0 |Average reward -104.28767123287672|
|Episode 74 | Episode reward -83.0 |Average reward -104.0|
|Episode 75 | Episode reward -111.0 |Average reward -104.09333333333333|
|Episode 76 | Episode reward -83.0 |Average reward -103.8157894736842|
|Episode 77 | Episode reward -114.0 |Average reward -103.94805194805195|
|Episode 78 | Episode reward -83.0 |Average reward -103.67948717948718|
|Episode 79 | Episode reward -112.0 |Average reward -103.78481012658227|
|Episode 80 | Episode reward -111.0 |Average reward -103.875|
|Episode 81 | Episode reward -112.0 |Average reward -103.9753086419753|
|Episode 82 | Episode reward -88.0 |Average reward -103.78048780487805|
|Episode 83 | Episode reward -111.0 |Average reward -103.86746987951807|
|Episode 84 | Episode reward -110.0 |Average reward -103.94047619047619|
|Episode 85 | Episode reward -95.0 |Average reward -103.83529411764705|
|Episode 86 | Episode reward -111.0 |Average reward -103.9186046511628|
|Episode 87 | Episode reward -111.0 |Average reward -104.0|
|Episode 88 | Episode reward -84.0 |Average reward -103.77272727272727|
|Episode 89 | Episode reward -90.0 |Average reward -103.61797752808988|
|Episode 90 | Episode reward -111.0 |Average reward -103.7|
|Episode 91 | Episode reward -110.0 |Average reward -103.76923076923077|
|Episode 92 | Episode reward -114.0 |Average reward -103.8804347826087|
|Episode 93 | Episode reward -112.0 |Average reward -103.96774193548387|
|Episode 94 | Episode reward -114.0 |Average reward -104.07446808510639|
|Episode 95 | Episode reward -112.0 |Average reward -104.15789473684211|
|Episode 96 | Episode reward -111.0 |Average reward -104.22916666666667|
|Episode 97 | Episode reward -111.0 |Average reward -104.29896907216495|
|Episode 98 | Episode reward -114.0 |Average reward -104.39795918367346|
|Episode 99 | Episode reward -112.0 |Average reward -104.47474747474747|
|Episode 100 | Episode reward -111.0 |Average reward -104.54|
